Default	Dir	Name	Params
Yes	>	open	FSPATH name, FLAGS32 flags: O_LARGEFILE, O_DIRECTORY, O_DIRECT, O_TRUNC, O_SYNC, O_NONBLOCK, O_EXCL, O_DSYNC, O_APPEND, O_CREAT, O_RDWR, O_WRONLY, O_RDONLY, O_CLOEXEC, O_NONE, O_TMPFILE, O_F_CREATED, UINT32 mode
Yes	<	open	FD fd, FSPATH name, FLAGS32 flags: O_LARGEFILE, O_DIRECTORY, O_DIRECT, O_TRUNC, O_SYNC, O_NONBLOCK, O_EXCL, O_DSYNC, O_APPEND, O_CREAT, O_RDWR, O_WRONLY, O_RDONLY, O_CLOEXEC, O_NONE, O_TMPFILE, O_F_CREATED, UINT32 mode, UINT32 dev, UINT64 ino
Yes	>	close	FD fd
Yes	<	close	ERRNO res
No	>	read	FD fd, UINT32 size
No	<	read	ERRNO res, BYTEBUF data
No	>	write	FD fd, UINT32 size
No	<	write	ERRNO res, BYTEBUF data
Yes	>	socket	ENUMFLAGS32 domain: AF_NFC, AF_ALG, AF_CAIF, AF_IEEE802154, AF_PHONET, AF_ISDN, AF_RXRPC, AF_IUCV, AF_BLUETOOTH, AF_TIPC, AF_CAN, AF_LLC, AF_WANPIPE, AF_PPPOX, AF_IRDA, AF_SNA, AF_RDS, AF_ATMSVC, AF_ECONET, AF_ASH, AF_PACKET, AF_ROUTE, AF_NETLINK, AF_KEY, AF_SECURITY, AF_NETBEUI, AF_DECnet, AF_ROSE, AF_INET6, AF_X25, AF_ATMPVC, AF_BRIDGE, AF_NETROM, AF_APPLETALK, AF_IPX, AF_AX25, AF_INET, AF_LOCAL, AF_UNIX, AF_UNSPEC, UINT32 type, UINT32 proto
Yes	<	socket	FD fd
Yes	>	bind	FD fd
Yes	<	bind	ERRNO res, SOCKADDR addr
Yes	>	connect	FD fd, SOCKADDR addr
Yes	<	connect	ERRNO res, SOCKTUPLE tuple, FD fd
Yes	>	listen	FD fd, INT32 backlog
Yes	<	listen	ERRNO res
No	>	send	FD fd, UINT32 size
No	<	send	ERRNO res, BYTEBUF data
Yes	>	sendto	FD fd, UINT32 size, SOCKTUPLE tuple
Yes	<	sendto	ERRNO res, BYTEBUF data
No	>	recv	FD fd, UINT32 size
No	<	recv	ERRNO res, BYTEBUF data
Yes	>	recvfrom	FD fd, UINT32 size
Yes	<	recvfrom	ERRNO res, BYTEBUF data, SOCKTUPLE tuple
Yes	>	shutdown	FD fd, ENUMFLAGS8 how: SHUT_UNKNOWN, SHUT_RDWR, SHUT_WR, SHUT_RD
Yes	<	shutdown	ERRNO res
Yes	>	getsockname	
Yes	<	getsockname	
Yes	>	getpeername	
Yes	<	getpeername	
